id,kind,timestamp,comment,changes,author,ip,data
83348149,lists,2021-06-24T13:00:29.500499,Updated list.,"[{'key': '/people/stillme/lists/OL197127L', 'revision': 75}]",{'key': '/people/stillme'},,"{'list': {'key': '/people/stillme/lists/OL197127L'}, 'seeds': ['/books/OL24950371M'], 'add': [{'key': '/books/OL24950371M'}], 'remove': []}"
83348148,add-cover,2021-06-24T12:59:48.483655,Added new cover,"[{'key': '/books/OL7524408M', 'revision': 13}]",{'key': '/people/amorland'},,{'url': ''}
83348147,lists,2021-06-24T12:59:23.663057,Updated list.,"[{'key': '/people/aaronna2010/lists/OL197475L', 'revision': 72}]",{'key': '/people/aaronna2010'},,"{'list': {'key': '/people/aaronna2010/lists/OL197475L'}, 'seeds': ['/books/OL23247748M'], 'add': [{'key': '/books/OL23247748M'}], 'remove': []}"
83348146,lists,2021-06-24T12:59:15.048018,Updated list.,"[{'key': '/people/stillme/lists/OL197127L', 'revision': 74}]",{'key': '/people/stillme'},,"{'list': {'key': '/people/stillme/lists/OL197127L'}, 'seeds': ['/books/OL24934319M'], 'add': [{'key': '/books/OL24934319M'}], 'remove': []}"
83348145,edit-book,2021-06-24T12:59:13.358129,,"[{'key': '/works/OL5846405W', 'revision': 5}]",{'key': '/people/amorland'},,{}
83348144,update,2021-06-24T12:59:06.031490,link,"[{'key': '/collections/Goosebumps', 'revision': 13}]",{'key': '/people/tmanarl'},,{}
83348143,update,2021-06-24T12:58:51.918926,updating user preferences,"[{'key': '/people/rudihaqqoni/preferences', 'revision': 1}]",{'key': '/people/rudihaqqoni'},,{}
83348142,new-account,2021-06-24T12:58:51.795234,Created new account.,"[{'key': '/people/rudihaqqoni', 'revision': 1}, {'key': '/people/rudihaqqoni/usergroup', 'revision': 1}, {'key': '/people/rudihaqqoni/permission', 'revision': 1}]",{'key': '/people/rudihaqqoni'},,{}
83348141,update,2021-06-24T12:58:45.402214,,"[{'key': '/people/stillme/lists/OL197127L', 'revision': 73}]",{'key': '/people/stillme'},,{}
83348140,add-book,2021-06-24T12:58:15.871929,import new book,"[{'key': '/works/OL24625419W', 'revision': 1}, {'key': '/books/OL32672715M', 'revision': 1}]",{'key': '/people/ImportBot'},,{}
