,wikipedia,key,remote_ids,created,birth_date,name,latest_revision,last_modified,alternate_names,type,photos,revision,personal_name,death_date,source_records,id,bio,links,title,data,date,fuller_name,location,authors_key
0,,/authors/OL7611420A,,"{'type': '/type/datetime', 'value': '2019-07-19T18:21:54.436166'}",,Alana Fairchild,1.0,"{'type': '/type/datetime', 'value': '2019-07-19T18:21:54.436166'}",,{'key': '/type/author'},,1,Alana Fairchild,,,,,,,,,,,/authors/OL7611420A
1,,/authors/OL7611420A,,"{'type': '/type/datetime', 'value': '2019-07-19T18:21:54.436166'}",,Alana Fairchild,1.0,"{'type': '/type/datetime', 'value': '2019-07-19T18:21:54.436166'}",,{'key': '/type/author'},,1,Alana Fairchild,,,,,,,,,,,/authors/OL7611420A
2,,/authors/OL9282181A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}",,J.-J GAUTHE,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}",,{'key': '/type/author'},,1,,,['amazon:2846701016'],,,,,,,,,/authors/OL9282181A
3,,/authors/OL9282181A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}",,J.-J GAUTHE,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}",,{'key': '/type/author'},,1,,,['amazon:2846701016'],,,,,,,,,/authors/OL9282181A
4,,/authors/OL9282178A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,Mike Sciales,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,{'key': '/type/author'},,1,,,['amazon:179134688X'],,,,,,,,,/authors/OL9282178A
5,,/authors/OL9282179A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,Laurie Sciales,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,{'key': '/type/author'},,1,,,['amazon:179134688X'],,,,,,,,,/authors/OL9282179A
6,,/authors/OL9282180A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,Laurie Sciales,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,{'key': '/type/author'},,1,,,['amazon:179134688X'],,,,,,,,,/authors/OL9282180A
7,,/authors/OL2752989A,,,,Steve Lloyd,,"{'type': '/type/datetime', 'value': '2008-04-29 15:03:11.581851'}",,{'key': '/type/author'},,1,,,,10434169.0,,,,,,,,/authors/OL2752989A
8,,/authors/OL9282178A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,Mike Sciales,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,{'key': '/type/author'},,1,,,['amazon:179134688X'],,,,,,,,,/authors/OL9282178A
9,,/authors/OL9282179A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,Laurie Sciales,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,{'key': '/type/author'},,1,,,['amazon:179134688X'],,,,,,,,,/authors/OL9282179A
10,,/authors/OL9282180A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,Laurie Sciales,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",,{'key': '/type/author'},,1,,,['amazon:179134688X'],,,,,,,,,/authors/OL9282180A
11,,/authors/OL2752989A,,,,Steve Lloyd,,"{'type': '/type/datetime', 'value': '2008-04-29 15:03:11.581851'}",,{'key': '/type/author'},,1,,,,10434169.0,,,,,,,,/authors/OL2752989A
12,,/authors/OL9282177A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}",,Mick MacNeil,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}",,{'key': '/type/author'},,1,,,['amazon:1777158133'],,,,,,,,,/authors/OL9282177A
13,,/authors/OL9282177A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}",,Mick MacNeil,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}",,{'key': '/type/author'},,1,,,['amazon:1777158133'],,,,,,,,,/authors/OL9282177A
14,,/authors/OL9282176A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}",,Nicole Caligaris,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}",,{'key': '/type/author'},,1,,,['amazon:2914412681'],,,,,,,,,/authors/OL9282176A
15,,/authors/OL9282176A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}",,Nicole Caligaris,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}",,{'key': '/type/author'},,1,,,['amazon:2914412681'],,,,,,,,,/authors/OL9282176A
16,,/authors/OL9097657A,,"{'type': '/type/datetime', 'value': '2021-02-04T11:41:13.947204'}",,MOLIERE,1.0,"{'type': '/type/datetime', 'value': '2021-02-04T11:41:13.947204'}",,{'key': '/type/author'},,1,,,['amazon:2012153100'],,,,,,,,,/authors/OL9097657A
17,,/authors/OL9097657A,,"{'type': '/type/datetime', 'value': '2021-02-04T11:41:13.947204'}",,MOLIERE,1.0,"{'type': '/type/datetime', 'value': '2021-02-04T11:41:13.947204'}",,{'key': '/type/author'},,1,,,['amazon:2012153100'],,,,,,,,,/authors/OL9097657A
18,,/authors/OL9282175A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}",,"Baudouin,Bernard",1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}",,{'key': '/type/author'},,1,,,['amazon:2732892262'],,,,,,,,,/authors/OL9282175A
19,,/authors/OL9282175A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}",,"Baudouin,Bernard",1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}",,{'key': '/type/author'},,1,,,['amazon:2732892262'],,,,,,,,,/authors/OL9282175A
20,,/authors/OL9282174A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}",,Jean Polis,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}",,{'key': '/type/author'},,1,,,['amazon:2930211423'],,,,,,,,,/authors/OL9282174A
21,,/authors/OL9282174A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}",,Jean Polis,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}",,{'key': '/type/author'},,1,,,['amazon:2930211423'],,,,,,,,,/authors/OL9282174A
22,,/authors/OL9282173A,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.175386'}",,Jean Polis,1.0,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.175386'}",,{'key': '/type/author'},,1,,,['amazon:2930211423'],,,,,,,,,/authors/OL9282173A
