,subtitle,authors,title,publishers,number_of_pages,physical_format,notes,works,publish_date,isbn_10,covers,full_title,isbn_13,last_modified,created,type,key,latest_revision,revision,source_records,name,id,publish_places,identifiers,pagination,classifications,copyright_date,table_of_contents,contributors,edition_name,oclc_numbers,languages,other_titles,subjects,links,subject_places,description,subject_times,excerpts,subject_people,series,lc_classifications,first_publish_date,dewey_number,physical_dimensions,first_sentence,weight,translation_of,by_statement,translated_from,dewey_decimal_class,ocaid,location,publish_country,personal_name,authors_key,books_key
0,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7611420A'}}]",La magie des anges,,,,,,,,[11300977],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:58:15.871929'}","{'type': '/type/datetime', 'value': '2021-06-24T12:58:15.871929'}",{'key': '/type/work'},/works/OL24625419W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625419W
1,"Pratiques, rituels et prières pour se connecter à leur lumière",[{'key': '/authors/OL7611420A'}],La magie des anges,['LOTUS ELEPHANT'],226.0,paperback,"{'type': '/type/text', 'value': 'Source title: La magie des anges: Pratiques, rituels et prières pour se connecter à leur lumière (Beaux livres) (French Edition)'}",[{'key': '/works/OL24625419W'}],"May 19, 2021",['201714164X'],[11300977],"La magie des anges : Pratiques, rituels et prières pour se connecter à leur lumière",['9782017141648'],"{'type': '/type/datetime', 'value': '2021-06-24T12:58:15.871929'}","{'type': '/type/datetime', 'value': '2021-06-24T12:58:15.871929'}",{'key': '/type/edition'},/books/OL32672715M,1,1,['amazon:201714164X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7611420A,/books/OL32672715M
2,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}","{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}",{'key': '/type/author'},/authors/OL9282181A,1,1,['amazon:2846701016'],J.-J GAUTHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282181A
3,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282181A'}}]",SCOUTS,,,,,,,,[11300975],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}","{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}",{'key': '/type/work'},/works/OL24625418W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625418W
4,,[{'key': '/authors/OL9282181A'}],SCOUTS,['CAVALIER BLEU'],,paperback,"{'type': '/type/text', 'value': 'Source title: SCOUTS (LES) (Idées reçues - poche)'}",[{'key': '/works/OL24625418W'}],"Feb 22, 2007",['2846701016'],[11300975],SCOUTS,['9782846701013'],"{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}","{'type': '/type/datetime', 'value': '2021-06-24T12:55:33.375621'}",{'key': '/type/edition'},/books/OL32672713M,1,1,['amazon:2846701016'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282181A,/books/OL32672713M
5,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}","{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",{'key': '/type/author'},/authors/OL9282178A,1,1,['amazon:179134688X'],Mike Sciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282178A
6,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}","{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",{'key': '/type/author'},/authors/OL9282179A,1,1,['amazon:179134688X'],Laurie Sciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282179A
7,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}","{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",{'key': '/type/author'},/authors/OL9282180A,1,1,['amazon:179134688X'],Laurie Sciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282180A
8,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282178A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282179A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282180A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL2752989A'}}]",Syosset Blues,,,,,,,,[11300974],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}","{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",{'key': '/type/work'},/works/OL24625417W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625417W
9,reflections on a misspent youth,"[{'key': '/authors/OL9282178A'}, {'key': '/authors/OL9282179A'}, {'key': '/authors/OL9282180A'}, {'key': '/authors/OL2752989A'}]",Syosset Blues,"['Independently published', 'Independently Published']",315.0,paperback,"{'type': '/type/text', 'value': 'Source title: Syosset Blues: reflections on a misspent youth'}",[{'key': '/works/OL24625417W'}],"Dec 10, 2018",['179134688X'],[11300974],Syosset Blues : reflections on a misspent youth,['9781791346881'],"{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}","{'type': '/type/datetime', 'value': '2021-06-24T12:55:20.310476'}",{'key': '/type/edition'},/books/OL32672712M,1,1,['amazon:179134688X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282178A,/books/OL32672712M
